ticket_no,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_day,severity_score,priority_score,risk_score,high_risk
71,1099,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
72,294,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
73,228,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
74,176,3 - Senior,Access/Login,Request,4 - Critical,3 - High,1,4,3,7,0
75,1883,2 - Regular,Software,Request,2 - Normal,1 - Low,9,2,1,19,1
76,668,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
77,1178,1 - Junior,Systems,Request,4 - Critical,0 - Unassigned,17,4,0,68,1
78,1065,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,1,2,2,4,0
79,839,4 - Management,Hardware,Issue,2 - Normal,3 - High,8,2,3,19,1
80,1100,2 - Regular,Software,Request,2 - Normal,1 - Low,6,2,1,13,1
81,1982,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
82,1599,2 - Regular,Hardware,Issue,2 - Normal,1 - Low,14,2,1,29,1
83,721,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,13,2,0,26,1
84,886,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
85,598,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
86,77,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
87,1058,4 - Management,Access/Login,Request,3 - Major,0 - Unassigned,0,3,0,0,0
88,643,1 - Junior,Systems,Request,2 - Normal,1 - Low,16,2,1,33,1
89,1413,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
90,420,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,9,2,0,18,1
91,1903,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,13,2,0,26,1
92,448,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
93,68,4 - Management,Software,Request,2 - Normal,3 - High,7,2,3,17,1
94,81,1 - Junior,Software,Request,2 - Normal,3 - High,4,2,3,11,1
95,806,3 - Senior,Systems,Request,2 - Normal,3 - High,16,2,3,35,1
96,173,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
97,434,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
98,1653,2 - Regular,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
99,1167,2 - Regular,Systems,Request,2 - Normal,1 - Low,16,2,1,33,1
100,634,2 - Regular,Software,Request,2 - Normal,2 - Medium,7,2,2,16,1
101,1219,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
102,355,4 - Management,Software,Request,2 - Normal,3 - High,4,2,3,11,1
103,1272,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
104,1694,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
105,1884,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,22,2,0,44,1
106,71,1 - Junior,Systems,Request,3 - Major,1 - Low,8,3,1,25,1
107,1815,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,11,2,2,24,1
108,913,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
109,1652,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
110,1857,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
111,245,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
112,366,1 - Junior,Hardware,Request,2 - Normal,1 - Low,31,2,1,63,1
113,264,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
114,1678,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
115,1206,2 - Regular,Systems,Request,2 - Normal,3 - High,16,2,3,35,1
116,837,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
117,1637,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
118,1585,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
119,721,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
120,230,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
121,1286,4 - Management,Hardware,Request,2 - Normal,3 - High,16,2,3,35,1
122,1959,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
123,188,2 - Regular,Systems,Request,2 - Normal,1 - Low,8,2,1,17,1
124,1575,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
125,717,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,17,2,0,34,1
126,1066,4 - Management,Systems,Request,2 - Normal,3 - High,21,2,3,45,1
127,1637,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,2,2,0,4,0
128,307,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
129,241,3 - Senior,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
130,57,2 - Regular,Software,Request,2 - Normal,2 - Medium,17,2,2,36,1
131,680,1 - Junior,Systems,Request,1 - Minor,0 - Unassigned,9,1,0,9,0
132,795,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
133,285,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,21,2,0,42,1
134,173,4 - Management,Systems,Request,2 - Normal,3 - High,16,2,3,35,1
135,1948,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
136,600,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
137,346,3 - Senior,Software,Request,3 - Major,2 - Medium,13,3,2,41,1
138,1512,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
139,1448,2 - Regular,Software,Issue,2 - Normal,1 - Low,3,2,1,7,0
140,1721,1 - Junior,Systems,Issue,2 - Normal,1 - Low,4,2,1,9,0
141,946,1 - Junior,Software,Request,2 - Normal,2 - Medium,8,2,2,18,1
142,1914,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
143,1700,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
144,1451,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
145,740,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
146,825,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
147,325,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
148,1098,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5,2,2,12,1
149,761,1 - Junior,Systems,Request,2 - Normal,1 - Low,13,2,1,27,1
150,1900,4 - Management,Systems,Request,2 - Normal,3 - High,9,2,3,21,1
151,584,2 - Regular,Software,Issue,2 - Normal,3 - High,5,2,3,13,1
152,600,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
153,718,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
154,1315,3 - Senior,Systems,Request,2 - Normal,2 - Medium,18,2,2,38,1
155,1594,3 - Senior,Software,Issue,4 - Critical,3 - High,3,4,3,15,1
156,278,2 - Regular,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
157,1282,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
158,1646,2 - Regular,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
159,1781,4 - Management,Software,Request,3 - Major,3 - High,4,3,3,15,1
160,900,4 - Management,Systems,Issue,2 - Normal,3 - High,10,2,3,23,1
161,916,4 - Management,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
162,2000,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
163,1458,1 - Junior,Systems,Request,2 - Normal,1 - Low,8,2,1,17,1
164,97,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
165,1464,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
166,1749,2 - Regular,Hardware,Request,2 - Normal,1 - Low,31,2,1,63,1
167,351,2 - Regular,Systems,Issue,2 - Normal,3 - High,2,2,3,7,0
168,795,2 - Regular,Software,Request,2 - Normal,3 - High,8,2,3,19,1
169,1822,2 - Regular,Access/Login,Issue,3 - Major,3 - High,0,3,3,3,0
170,272,2 - Regular,Software,Request,2 - Normal,3 - High,2,2,3,7,0
171,1930,2 - Regular,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
172,387,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,2,2,0,4,0
173,671,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
174,52,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
175,874,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
176,1595,3 - Senior,Hardware,Request,2 - Normal,3 - High,11,2,3,25,1
177,1738,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
178,519,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
179,923,4 - Management,Software,Issue,2 - Normal,0 - Unassigned,4,2,0,8,0
180,1994,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
181,570,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
182,954,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,12,2,0,24,1
183,446,1 - Junior,Hardware,Issue,2 - Normal,1 - Low,5,2,1,11,1
184,908,1 - Junior,Hardware,Request,2 - Normal,3 - High,12,2,3,27,1
185,778,1 - Junior,Hardware,Issue,2 - Normal,0 - Unassigned,15,2,0,30,1
186,1201,1 - Junior,Software,Request,2 - Normal,2 - Medium,6,2,2,14,1
187,46,4 - Management,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
188,992,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
189,678,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
190,1793,1 - Junior,Access/Login,Issue,3 - Major,0 - Unassigned,0,3,0,0,0
191,1441,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
192,774,2 - Regular,Systems,Request,2 - Normal,2 - Medium,16,2,2,34,1
193,349,2 - Regular,Systems,Request,2 - Normal,1 - Low,20,2,1,41,1
194,1051,4 - Management,Hardware,Issue,2 - Normal,0 - Unassigned,9,2,0,18,1
195,1709,2 - Regular,Hardware,Request,3 - Major,0 - Unassigned,10,3,0,30,1
196,1514,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
197,856,2 - Regular,Systems,Issue,2 - Normal,3 - High,4,2,3,11,1
198,1019,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
199,901,4 - Management,Access/Login,Request,3 - Major,0 - Unassigned,1,3,0,3,0
200,359,1 - Junior,Systems,Request,2 - Normal,1 - Low,12,2,1,25,1
201,525,4 - Management,Software,Request,2 - Normal,3 - High,2,2,3,7,0
202,1192,3 - Senior,Hardware,Issue,0 - Unclassified,3 - High,5,0,3,3,0
203,177,3 - Senior,Systems,Request,2 - Normal,2 - Medium,5,2,2,12,1
204,1936,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
205,322,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,12,2,0,24,1
206,1427,2 - Regular,Systems,Request,2 - Normal,3 - High,19,2,3,41,1
207,1452,1 - Junior,Software,Request,2 - Normal,3 - High,4,2,3,11,1
208,1400,2 - Regular,Hardware,Request,2 - Normal,1 - Low,11,2,1,23,1
209,1792,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,32,2,0,64,1
210,1445,2 - Regular,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
211,712,4 - Management,Hardware,Request,2 - Normal,3 - High,12,2,3,27,1
212,454,4 - Management,Systems,Issue,3 - Major,3 - High,2,3,3,9,0
213,1415,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
214,961,3 - Senior,Software,Issue,3 - Major,2 - Medium,7,3,2,23,1
215,844,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,13,2,0,26,1
216,569,3 - Senior,Software,Request,2 - Normal,3 - High,2,2,3,7,0
217,1527,1 - Junior,Software,Request,2 - Normal,1 - Low,6,2,1,13,1
218,913,3 - Senior,Software,Issue,2 - Normal,3 - High,3,2,3,9,0
219,624,1 - Junior,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
220,720,4 - Management,Systems,Request,2 - Normal,3 - High,18,2,3,39,1
221,1234,3 - Senior,Systems,Issue,1 - Minor,3 - High,1,1,3,4,0
222,237,1 - Junior,Systems,Issue,2 - Normal,1 - Low,3,2,1,7,0
223,483,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
224,801,4 - Management,Systems,Request,2 - Normal,3 - High,12,2,3,27,1
225,1796,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
226,1544,2 - Regular,Access/Login,Request,1 - Minor,3 - High,0,1,3,3,0
227,1801,3 - Senior,Software,Request,2 - Normal,3 - High,3,2,3,9,0
228,630,1 - Junior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
229,698,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
230,1566,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
231,1860,1 - Junior,Systems,Request,2 - Normal,1 - Low,13,2,1,27,1
232,524,2 - Regular,Systems,Request,2 - Normal,2 - Medium,8,2,2,18,1
233,507,2 - Regular,Software,Issue,2 - Normal,1 - Low,12,2,1,25,1
234,1660,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,18,2,0,36,1
235,705,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
236,1859,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
237,142,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
238,461,4 - Management,Software,Request,2 - Normal,2 - Medium,7,2,2,16,1
239,683,4 - Management,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
240,1411,4 - Management,Hardware,Request,2 - Normal,3 - High,13,2,3,29,1
241,499,2 - Regular,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
242,1200,2 - Regular,Systems,Request,2 - Normal,1 - Low,18,2,1,37,1
243,1438,2 - Regular,Software,Request,2 - Normal,1 - Low,9,2,1,19,1
244,1011,2 - Regular,Software,Issue,2 - Normal,2 - Medium,2,2,2,6,0
245,1471,3 - Senior,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
246,1401,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
247,1579,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
248,704,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
249,521,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
250,1745,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
251,1052,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
252,1025,3 - Senior,Systems,Request,2 - Normal,3 - High,21,2,3,45,1
253,767,2 - Regular,Software,Request,2 - Normal,3 - High,13,2,3,29,1
254,817,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
255,1847,3 - Senior,Software,Issue,2 - Normal,3 - High,2,2,3,7,0
256,1801,3 - Senior,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
257,292,1 - Junior,Software,Request,2 - Normal,1 - Low,7,2,1,15,1
258,1011,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3,2,1,7,0
259,73,4 - Management,Access/Login,Request,3 - Major,3 - High,0,3,3,3,0
260,1373,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
261,108,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
262,1344,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
263,1990,1 - Junior,Systems,Request,3 - Major,3 - High,12,3,3,39,1
264,1547,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
265,1641,2 - Regular,Systems,Request,2 - Normal,2 - Medium,15,2,2,32,1
266,1859,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
267,1045,4 - Management,Access/Login,Request,4 - Critical,0 - Unassigned,0,4,0,0,0
268,166,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
269,1591,3 - Senior,Hardware,Issue,2 - Normal,0 - Unassigned,7,2,0,14,1
270,551,4 - Management,Systems,Issue,2 - Normal,0 - Unassigned,5,2,0,10,0
271,1631,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
272,1002,4 - Management,Hardware,Request,2 - Normal,3 - High,15,2,3,33,1
273,443,2 - Regular,Systems,Request,2 - Normal,3 - High,20,2,3,43,1
274,562,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
275,1185,2 - Regular,Systems,Request,1 - Minor,0 - Unassigned,5,1,0,5,0
276,805,2 - Regular,Software,Issue,2 - Normal,1 - Low,3,2,1,7,0
277,1878,1 - Junior,Systems,Request,2 - Normal,1 - Low,16,2,1,33,1
278,317,1 - Junior,Software,Request,2 - Normal,2 - Medium,8,2,2,18,1
279,676,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
280,1225,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,1,2,2,4,0
281,1315,3 - Senior,Access/Login,Issue,4 - Critical,0 - Unassigned,1,4,0,4,0
282,563,3 - Senior,Systems,Issue,2 - Normal,3 - High,7,2,3,17,1
283,367,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,7,2,0,14,1
284,1966,2 - Regular,Hardware,Issue,2 - Normal,3 - High,5,2,3,13,1
285,167,4 - Management,Systems,Issue,2 - Normal,3 - High,2,2,3,7,0
286,1184,1 - Junior,Software,Issue,2 - Normal,2 - Medium,1,2,2,4,0
287,1177,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
288,700,3 - Senior,Software,Request,2 - Normal,3 - High,2,2,3,7,0
289,635,1 - Junior,Systems,Request,2 - Normal,1 - Low,18,2,1,37,1
290,1779,2 - Regular,Software,Issue,4 - Critical,3 - High,7,4,3,31,1
291,1909,2 - Regular,Software,Request,2 - Normal,3 - High,4,2,3,11,1
292,1968,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
293,1420,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
294,907,4 - Management,Systems,Request,2 - Normal,3 - High,23,2,3,49,1
295,335,4 - Management,Software,Request,2 - Normal,3 - High,5,2,3,13,1
296,640,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
297,1859,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
298,1095,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,9,2,0,18,1
299,1789,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
300,1339,1 - Junior,Systems,Request,2 - Normal,1 - Low,5,2,1,11,1
301,1411,4 - Management,Hardware,Request,2 - Normal,3 - High,10,2,3,23,1
302,1742,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
303,1532,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
304,1937,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
305,1513,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
306,22,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
307,1007,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
308,1840,1 - Junior,Systems,Request,2 - Normal,2 - Medium,13,2,2,28,1
309,1570,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
310,832,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,14,2,2,30,1
311,1595,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
312,1817,3 - Senior,Systems,Issue,2 - Normal,2 - Medium,3,2,2,8,0
313,767,2 - Regular,Systems,Request,2 - Normal,3 - High,21,2,3,45,1
314,956,4 - Management,Software,Request,2 - Normal,3 - High,4,2,3,11,1
315,1762,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
316,490,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
317,251,4 - Management,Software,Request,0 - Unclassified,2 - Medium,2,0,2,2,0
318,1738,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
319,1833,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
320,1602,3 - Senior,Hardware,Request,2 - Normal,3 - High,11,2,3,25,1
321,471,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
322,530,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
323,483,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
324,1744,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
